sp,time_slice,rate1,rate2,rel_abundance
acaldive,0-30,1.500205367,0.954178076,0.544149252
acalmacr,0-30,0.20046652,0.843494563,0.123462435
adenflor,0-30,1.121649916,0.578708688,0.219488774
aegipana,0-30,0.297273467,0.963573048,0.292651699
alchcost,0-30,0.884622866,0.973886833,0.612739494
amaicory,0-30,1.561731694,0.990330488,0.548721935
anacexce,0-30,1.378301887,0.980901983,0.182907312
annospra,0-30,1.591089902,0.93298348,1.335223376
apeitibo,0-30,0.694258413,0.919118798,1.303214596
baccinam,0-30,1.495192273,0.804292501,0.379532672
banaguia,0-30,1.21448482,0.643933522,1.906808725
brosguia,0-30,1.87135444,0.997016314,0.58987608
byrscras,0-30,1.092806525,0.896410428,2.149160913
byrsspic,0-30,0.959668944,0.926740321,0.781928758
casearbo,0-30,0.933689228,0.977996751,0.567012666
casecomm,0-30,1.327068195,0.997874822,0.841373634
caseguia,0-30,0.758686094,0.984171,0.11431707
casesylv,0-30,1.788054269,0.990025751,2.322922859
cecrinsi,0-30,1.952593338,0.823506738,0.169189263
cecrpelt,0-30,0.774643202,0.788183038,0.054872194
cestschl,0-30,0.445887641,0.925488084,0.301797064
citraura,0-30,1.084120345,0.940794493,0.260642919
clibsuri,0-30,-0.612493013,0.492025998,0.173761946
cochviti,0-30,0.671768261,0.822740802,1.134025333
coluglan,0-30,0.406510851,0.929082142,0.100599021
conospec,0-30,0.148507436,0.675710075,0.480131693
conoxala,0-30,1.276411659,0.838954858,3.173441858
cordalli,0-30,2.470576299,0.952109447,0.141753167
cordbico,0-30,0.485512986,0.971127816,0.612739494
couthexa,0-30,1.346366509,0.982552691,0.201198043
crotbill,0-30,1.279162177,0.959755062,0.356669258
cupacine,0-30,1.727404099,0.98033054,1.32607801
cupascro,0-30,1.958454049,0.987226479,1.527276053
erytcitr,0-30,1.866527703,0.972220601,0.128035118
eugevene,0-30,0.887007555,0.975469259,0.502995107
ficuinsi,0-30,0.593919887,0.973981054,0.265215602
hampappe,0-30,2.947149005,0.928494277,0.265215602
henrfasc,0-30,4.132243377,0.985310801,0.118889753
ingacocl,0-30,1.268828734,0.978562573,2.213178472
inganobi,0-30,0.983441034,0.97941548,0.086880973
ingapezi,0-30,0.982122329,0.947648544,0.169189263
ingasapi,0-30,0.739200401,0.956730147,0.164616581
ingathib,0-30,0.785906401,0.943586501,0.695047785
iserhaen,0-30,0.745126556,0.57989309,0.603594129
jacacopa,0-30,2.075284091,0.964645013,0.150898532
laciaggr,0-30,1.171298771,0.991168288,2.8167726
luehseem,0-30,0.713777219,0.91818837,0.150898532
margnobi,0-30,0.395934959,0.964380781,0.640175591
micoaffi,0-30,0.688408724,0.940954039,3.173441858
micoarge,0-30,1.350633914,0.935705607,7.115094426
micoimpe,0-30,0.895708447,0.961708859,0.233206822
micominu,0-30,0.492119778,0.828206017,1.09744387
micopoep,0-30,3.325951987,0.979259767,0.951118021
micopras,0-30,2.095204635,0.951816221,0.429832183
mosqjama,0-30,5.382943483,0.974703147,0.352096575
myrilong,0-30,0.636392555,0.937593074,0.461840962
ochrpyra,0-30,7.300011896,0.495255775,0.315515113
ocotdend,0-30,1.062334744,0.979405566,0.169189263
pachsess,0-30,2.609345292,0.992157597,0.452695597
paliguia,0-30,0.838181695,0.79989722,1.298641913
pavodasy,0-30,1.616583959,0.866528858,0.19662536
pentmac1,0-30,-0.099659121,0.964290898,0.201198043
peraarbo,0-30,1.373858141,0.986535497,0.128035118
pipeadun,0-30,1.374596774,0.556880355,0.987699483
poularma,0-30,3.295038272,0.964504739,0.150898532
protpana,0-30,3.153463243,0.995564612,0.406968769
prottenu,0-30,3.248854447,0.991407145,0.205770726
psidguaj,0-30,-0.19690027,0.532778775,0.11431707
psycbrac,0-30,0.392294414,0.947961933,0.160043898
psycgran,0-30,1.194277929,0.974628119,1.463258494
psycmarg,0-30,0.2947149,0.991649972,0.214916091
quasamar,0-30,0.389238342,0.984173051,0.777356075
